BÖYÜKKİŞİ,2018
AMİL,2016
QOCA,2007
NƏZİR,2006
AĞAMALI,2003
MURTUZ,2003
YAHYA,1998
NAMİK,1985
ASİM,1983
FƏHRAD,1978
ŞAİQ,1978
AĞƏLİ,1976
İSAX,1974
SADIX,1970
BAKİR,1966
AĞAYAR,1958
CƏMALƏDDİN,1952
AĞABƏY,1940
XANBABA,1934
ZƏFƏR,1926
ƏLİFAĞA,1922
TƏYYAR,1920
SÖHRAB,1919
BALAXAN,1907
İSMİXAN,1899
LOĞMAN,1897
VEYSƏL,1894
ALİK,1885
TƏHMƏZ,1882
NURƏLİ,1880
QİSMƏT,1873
ŞİRZAD,1873
SADİQ,1871
AĞADADAŞ,1866
QƏNİMƏT,1865
ELSEVƏR,1863
AĞARZA,1860
BEHBUD,1857
GƏRAY,1856
ƏLƏSKƏR,1854
FƏZAİL,1847
TARVERDİ,1847
MƏMMƏDQULU,1846
VASİLYEVNA,1844
ŞİRVAN,1842
AĞASƏLİM,1840
QÜRBƏT,1833
MANSUR,1827
CƏMŞİD,1820
VAHAB,1819
SEYRAN,1814
AĞAMMƏD,1811
MƏCNUN,1808
MAİS,1804
ŞƏMİSTAN,1798
SAVALAN,1798
ƏLİPAŞA,1790
ÇOBAN,1779
SÖHBƏT,1778
QARAŞ,1776
SEYİDAĞA,1774
ZÜLFİQAR,1772
TƏVƏKGÜL,1770
MAQSUD,1769
İBİŞ,1763
ƏFSƏR,1761
HEYDAR,1761
CUMA,1757
SƏDULLA,1757
ATAXAN,1756
XANƏHMƏD,1745
NƏZƏR,1743
SƏRVƏR,1734
RƏFİ,1733
SƏFƏRƏLİ,1728
KÖÇƏRİ,1727
İSRAİL,1716
RAFİK,1714
MİRİ,1708
VİKTOROVNA,1705
MİRƏLİ,1698
RAQİF,1693
DİLAVƏR,1690
FƏTƏLİ,1685
DİLQƏM,1681
MİRZƏBALA,1676
AZAY,1660
ŞİRƏLİ,1659
MİXAYLOVNA,1654
ZİYADXAN,1651
QARAKİŞİ,1649
BALAĞA,1644
MÜŞVİQ,1639
ZABİL,1637
İSMƏT,1637
FƏRƏMƏZ,1628
BƏDƏL,1625
TOFİK,1622
MOBİL,1611
NOFƏL,1606
TƏBRİZ,1603
ALLAHQULU,1597
HÜSEYNBALA,1597
MƏNSUR,1592
TEHRAN,1586
BAXŞƏLİ,1585
MƏMMƏDRZA,1582
HAFİS,1576
RAMİL,1573
MUSEYİB,1572
QƏMBƏR,1571
GÜLƏLİ,1563
BƏBİR,1563
AĞACAN,1562
ADIŞİRİN,1561
RZAQULU,1559
AĞARƏHİM,1558
EHTİRAM,1557
NAİB,1556
NƏRMAN,1547
MƏHƏR,1543
ABBASQULU,1542
AĞALİ,1541
MAMED,1541
ALIŞ,1538
TƏLƏT,1530
İMAMƏLİ,1529
XANƏLİ,1528
DURSUN,1526
FAXRƏDDİN,1514
LAZIM,1512
ŞÖVKƏT,1512
BAHADIR,1508
ƏLİABBAS,1506
VLADİMİROVİÇ,1506
LAÇIN,1505
SÜBHAN,1504
ANAR,1501
RAFAİL,1497
ZİYAFƏT,1493
SƏBUHİ,1493
AĞAGÜL,1488
İSABALA,1487
QOŞQAR,1477
BABƏK,1474
RAZİM,1471
XANIŞ,1470
ELBURUS,1469
NƏCƏFQULU,1467
HÜSEYNƏLİ,1465
MURADXAN,1457
ABDURAHMAN,1450
MAYİS,1449
QARAXAN,1449
SEVİNDİK,1444
HÜSEYNALI,1443
ŞİRMƏMMƏD,1442
ALEKSANDROVİÇ,1440
MİRƏLƏM,1433
SAMƏDDİN,1425
MƏDƏD,1424
BALAMİRZƏ,1423
SƏMİD,1418
SULİDDİN,1415
MƏHƏBBƏT,1405
QNYAZ,1404
RAFAEL,1404
KAMANDAR,1399
FEHRUZ,1398
İMANVERDİ,1394
NƏSRULLA,1392
İMAMQULU,1392
ƏLİSAFA,1391
AĞAMƏMMƏD,1388
SEYİD,1383
MURTUZA,1377
GÜLHÜSEYN,1377
XUDAYAR,1376
YELMAR,1374
NOVRUZƏLİ,1373
ƏRZUMAN,1371
QƏFƏR,1365
